id,kind,label,domain,confidence,verification_status,fields
n-source-research-pope-after-ai-2026-06-17-json-afabfe46,source,research/pope/after-ai-2026-06-17.json,what comes next after AI,1.0,source_artifact,"{""authored_date"": ""2026-06-17"", ""source_type"": ""pope_board""}"
n-domain-what-comes-next-after-ai-093b9fee,domain,what comes next after AI,what comes next after AI,0.95,derived_from_board,"{""horizon"": ""2028 to 2031"", ""title"": ""After AI: where the constraint moves when intelligence leaves the screen""}"
n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,thesis,P1: The AI frontier moves from model access to firm-power siting.,AI infrastructure / energy,0.8,derived_from_board,"{""pre_consensus"": ""The market sees power constraints, but still talks about AI infrastructure as a chip and cloud-capex race. The less priced layer is site selection as an energy-development problem: fiber plus land plus behind-the-meter generation plus permitting, especially where next-generation geothermal can bypass interconnection delays."", ""structural"": ""Data-center electricity demand is rising faster than grid equipment, interconnection, and local political consent can adjust. Rhodium cites LBL projections that US data centers could reach 7 to 12 percent of US electricity demand by 2028, while pv magazine reported four-year waits for power transformers in May 2026. Once GPU access is not the only scarcity, the gating variable becomes where a buyer can get clean, firm, permitted electricity without waiting in the queue."", ""thesis_id"": ""P1"", ""why"": ""The first-order AI power story is now consensus. The second-order call survives because it names where the rent migrates after that consensus: not just to generators, but to sites and developers that can collapse the time from model demand to energized capacity.""}"
n-constraint-contiguous-land-fiber-proximity-behind-the-meter-firm-generation-righ-ced7941b,constraint,"Contiguous land, fiber proximity, behind-the-meter firm generation rights, interconnection optionality, cooling, and local permitting bundled into a deployable data-center campus.",AI infrastructure / energy,0.7,derived_from_board,"{""source_thesis"": ""P1""}"
n-metric-track-hyperscaler-and-data-center-developer-announcements-that-name-on-si-f5493b8f,metric,"Track hyperscaler and data-center developer announcements that name on-site firm power, geothermal, or interconnection bypass as the reason for site selection; count 100 MW plus campuses with direct power-development partnerships; track transformer lead times and local moratoria.",AI infrastructure / energy,0.75,derived_from_board,"{""source_thesis"": ""P1""}"
n-kill-condition-kill-if-by-end-2028-fewer-than-two-hyperscaler-scale-campuses-pub-495cf67f,kill_condition,"Kill if by end 2028 fewer than two hyperscaler-scale campuses publicly secure behind-the-meter firm clean generation as a core siting advantage, or if transformer and interconnection delays normalize below roughly 24 months in the main US AI data-center markets.",AI infrastructure / energy,0.8,derived_from_board,"{""source_thesis"": ""P1""}"
n-price-channel-transformer-shortage-and-grid-congestion-are-visible-the-residual-1a4676ce,price_channel,"Transformer shortage and grid congestion are visible. The residual edge is not the fact that power is tight; it is the claim that firm-power site rights become a primary AI platform asset, and that geothermal or other clean firm behind-the-meter resources get valued as AI infrastructure rather than as ordinary generation.",AI infrastructure / energy,0.65,derived_from_board,"{""source_thesis"": ""P1""}"
n-buyer-segment-hyperscaler-infrastructure-teams-data-center-developers-power-deve-fd355967,buyer_segment,"Hyperscaler infrastructure teams, data-center developers, power developers, large AI labs with reserved compute needs, and investors underwriting AI infrastructure.",AI infrastructure / energy,0.65,derived_from_board,"{""source_thesis"": ""P1""}"
n-action-map-sites-by-firm-power-time-to-energize-not-just-land-cost-and-fiber-sec-a462366b,action,"Map sites by firm-power time-to-energize, not just land cost and fiber; secure options on campuses where geothermal, gas with carbon capture, nuclear restart, or other firm power can be contracted behind the meter.",AI infrastructure / energy,0.65,derived_from_board,"{""source_thesis"": ""P1""}"
n-observable-a-hyperscaler-or-top-data-center-reit-announcing-a-100-mw-plus-campus-ee448776,observable,A hyperscaler or top data-center REIT announcing a 100 MW plus campus whose stated differentiator is behind-the-meter clean firm power rather than cheap land.,AI infrastructure / energy,0.7,derived_from_board,"{""source_thesis"": ""P1""}"
n-winner-geothermal-and-clean-firm-power-developers-d26c8b7d,winner,Geothermal and clean firm power developers,AI infrastructure / energy,0.55,derived_from_board,"{""source_thesis"": ""P1"", ""why"": ""They turn data-center load into a bankable offtake and bypass part of the grid queue.""}"
