action_id,call_id,priority,owner,stage,action,artifact,success_metric,next_click
P1-A1,P1,1,agent security and governance desk,verify,"Check whether the first watch signal has moved: Watch for two major card networks, processors, or cloud providers reporting production agent credential volume, not just pilots, and for procurement language requiring distinct credentials for autonomous software actors.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P1-A2,P1,2,agent security and governance desk,buyer,"Map the exposed buyer to one live decision: Payment and identity roadmap priorities shift from human checkout UX toward agent-specific credentials, programmable limits, merchant trust signals, and liability handling.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P1-A3,P1,3,agent security and governance desk,outreach,"Send the thesis-specific email and ask if this decision is active: Inventory where agents could initiate payments or commitments, then require scoped credentials, explicit consent, revocation, logging, and dispute evidence before any production rollout.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P1-A4,P1,4,agent security and governance desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P1-A5,P1,5,agent security and governance desk,score,Preserve the exact clause for scoring by 2031-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P2-A1,P2,1,strategy desk,verify,"Check whether the first watch signal has moved: Watch insurance questionnaires and regulated-sector procurement templates for mandatory AI action-log, incident replay, and retention language.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P2-A2,P2,2,strategy desk,buyer,"Map the exposed buyer to one live decision: AI compliance budgets shift from one-off model evaluations to persistent logging, forensic replay, evidence retention, and independent assurance.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P2-A3,P2,3,strategy desk,outreach,"Send the thesis-specific email and ask if this decision is active: Define an AI event-record schema before deployment: model version, prompt/input class, tools called, permissions used, output, human approval, rollback path, incident marker, and retention period.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P2-A4,P2,4,strategy desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P2-A5,P2,5,strategy desk,score,Preserve the exact clause for scoring by 2031-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P3-A1,P3,1,AI infrastructure and power desk,verify,"Check whether the first watch signal has moved: Watch DOE, NSF, NIST, pharma, and materials RFPs for named requirements around sample management, instrument communication, data management, and model integration standards.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P3-A2,P3,2,AI infrastructure and power desk,buyer,"Map the exposed buyer to one live decision: R&D infrastructure budgets shift from isolated robot workcells toward interoperable lab operating systems, data schemas, and integration standards.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P3-A3,P3,3,AI infrastructure and power desk,outreach,"Send the thesis-specific email and ask if this decision is active: Require every autonomous-lab pilot to export protocols, sample state, instrument state, data provenance, model version, and safety constraints in a machine-readable schema.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P3-A4,P3,4,AI infrastructure and power desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P3-A5,P3,5,AI infrastructure and power desk,score,Preserve the exact clause for scoring by 2031-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P4-A1,P4,1,R&D and autonomous science desk,verify,"Check whether the first watch signal has moved: Watch public postmortems of AI-materials programs for phrases like lifetime testing, qualification, design-in delay, field reliability, and accelerated aging.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P4-A2,P4,2,R&D and autonomous science desk,buyer,"Map the exposed buyer to one live decision: R&D budgets shift from model-only discovery tools toward reliability testbeds, reference datasets, and standards participation.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P4-A3,P4,3,R&D and autonomous science desk,outreach,"Send the thesis-specific email and ask if this decision is active: Build or buy qualification-data capacity before model-generated candidate volume overwhelms test pipelines: accelerated aging, inline metrology, sample lineage, and field-failure feedback.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P4-A4,P4,4,R&D and autonomous science desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P4-A5,P4,5,R&D and autonomous science desk,score,Preserve the exact clause for scoring by 2035-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P5-A1,P5,1,industrial biotech desk,verify,"Check whether the first watch signal has moved: Watch NIH, DOE, EU, OECD, and provider procurement language for requirements around AI-designed sequences, customer verification, record retention, and benchtop synthesis equipment.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P5-A2,P5,2,industrial biotech desk,buyer,"Map the exposed buyer to one live decision: Biofoundry and synthetic-biology platform budgets shift from raw synthesis speed toward compliance screening, access control, and auditable procurement.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
