action_id,call_id,priority,owner,stage,action,artifact,success_metric,next_click
P1-A1,P1,1,AI infrastructure and power desk,verify,Check whether the first watch signal has moved: A hyperscaler or top data-center REIT announcing a 100 MW plus campus whose stated differentiator is behind-the-meter clean firm power rather than cheap land.,watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P1-A2,P1,2,AI infrastructure and power desk,buyer,"Map the exposed buyer to one live decision: Data-center site selection, PPA strategy, power-development partnerships, capex phasing, and portfolio exposure to grid-dependent versus power-secured data-center assets.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P1-A3,P1,3,AI infrastructure and power desk,outreach,"Send the thesis-specific email and ask if this decision is active: Map sites by firm-power time-to-energize, not just land cost and fiber; secure options on campuses where geothermal, gas with carbon capture, nuclear restart, or other firm power can be contracted behind the meter.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P1-A4,P1,4,AI infrastructure and power desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P1-A5,P1,5,AI infrastructure and power desk,score,Preserve the exact clause for scoring by 2028-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P2-A1,P2,1,physical AI and automation desk,verify,"Check whether the first watch signal has moved: A major automotive or logistics deployment where the press release names the validation, simulation, or task-library layer as the reason the rollout scaled.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P2-A2,P2,2,physical AI and automation desk,buyer,"Map the exposed buyer to one live decision: Automation capex, integrator selection, pilot design, safety certification budgets, and whether to invest in robot OEMs or deployment-layer tooling.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P2-A3,P2,3,physical AI and automation desk,outreach,"Send the thesis-specific email and ask if this decision is active: Inventory repeatable tasks by commissioning burden and safety risk; structure pilots around validated productive hours and time-to-commission, not robot count or demo quality.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P2-A4,P2,4,physical AI and automation desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P2-A5,P2,5,physical AI and automation desk,score,Preserve the exact clause for scoring by 2028-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P3-A1,P3,1,R&D and autonomous science desk,verify,"Check whether the first watch signal has moved: A major pharma, chemicals, or materials company publicly saying its AI discovery bottleneck is lab throughput or assay availability, not model quality.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P3-A2,P3,2,R&D and autonomous science desk,buyer,"Map the exposed buyer to one live decision: R&D budget allocation between foundation models, lab automation, assay capacity, data infrastructure, and strategic partnerships.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P3-A3,P3,3,R&D and autonomous science desk,outreach,"Send the thesis-specific email and ask if this decision is active: Audit which discovery programs are experiment-limited; secure access to robotic testbeds, assay vendors, and metadata/provenance infrastructure before model-generated proposal volume spikes.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P3-A4,P3,4,R&D and autonomous science desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P3-A5,P3,5,R&D and autonomous science desk,score,Preserve the exact clause for scoring by 2029-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P4-A1,P4,1,edge device and platform desk,verify,"Check whether the first watch signal has moved: A Google, Samsung, Apple, or Meta product launch where the lead AI feature runs persistently on device and is marketed around private context rather than a bigger cloud model.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P4-A2,P4,2,edge device and platform desk,buyer,"Map the exposed buyer to one live decision: Hardware roadmap, NPU vendor selection, app architecture, privacy posture, and whether to build for cloud-first chat or local context surfaces.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P4-A3,P4,3,edge device and platform desk,outreach,Send the thesis-specific email and ask if this decision is active: Design around local context and power budgets; build features that improve when personal data stays on device instead of depending on generic cloud memory.,sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P4-A4,P4,4,edge device and platform desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P4-A5,P4,5,edge device and platform desk,score,Preserve the exact clause for scoring by 2028-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
P5-A1,P5,1,industrial biotech desk,verify,"Check whether the first watch signal has moved: A well-funded AI-bio or synbio company delaying launch because pilot capacity, downstream recovery, or COGS fails despite successful lab design.",watchlist.csv,"Signal status set to unchanged, strengthened, weakened, killed, or resolved.",watchlist.csv
P5-A2,P5,2,industrial biotech desk,buyer,"Map the exposed buyer to one live decision: Investment diligence, partnership timing, pilot plant capex, CDMO contracting, and whether to buy design IP or process know-how.",buyer_action_sheets.md,"One named buyer role, one budget, one decision date.",buyer_action_sheets.md
P5-A3,P5,3,industrial biotech desk,outreach,"Send the thesis-specific email and ask if this decision is active: Underwrite AI-bio companies on scale-up evidence, COGS path, downstream process, feedstock contracts, and pilot capacity access before valuing design claims.",sales_sequences.md,"One reply, intro, or explicit rejection logged.",sales_sequences.md
P5-A4,P5,4,industrial biotech desk,package,Turn this call into a paid pilot wedge if the buyer confirms the decision is active.,offer_ladder.md,"Pilot scope selected: board, watchlist refresh, decision memo, or API feed.",offer_ladder.md
P5-A5,P5,5,industrial biotech desk,score,Preserve the exact clause for scoring by 2030-12-31.,scorecard.jsonl,Resolution question remains unchanged and scoreable.,scorecard.jsonl
