id,role,mission,inputs,outputs
A01,graph_cartographer,"Map entities, constraints, dependencies, and missing edges before new theses are written.","Pope board, world-state pack, prior atlas","node_edge_patch.json, merge_notes.md"
A02,frontier_capability,Identify the capability frontier and the exact technical change that creates new demand.,"papers, patents, model/cost curves, technical roadmaps","frontier_state.md, capability_edges.csv"
A03,dependency_chain,Trace value chains one layer deeper than the obvious bottleneck.,"supplier data, bills of materials, process steps, physical constraints","dependency_edges.csv, weakest_link_notes.md"
A04,supply_elasticity,Estimate which nodes cannot scale on the forecast horizon and why.,"capacity, lead times, permits, capex, qualification cycles","elasticity_table.csv, bottleneck_candidates.md"
A05,pricing_gate,"Decide whether the market, buyers, and expert consensus already price the thesis.","prices, multiples, order books, analyst notes, public narratives","pricing_gate.md, saturation_score.json"
A06,policy_geopolitics,"Map laws, permits, trade controls, regulators, and state chokepoints.","official rules, dockets, sanctions, export controls, permits","policy_edges.csv, docket_queue.csv"
A07,capital_flows,Track who is funding capacity and where capital cannot remove the constraint.,"filings, grants, capex plans, project finance, procurement","capital_map.csv, capital_blind_spots.md"
A08,demand_shock,Quantify the downstream demand forcing function and its timing.,"adoption data, customer announcements, orders, utilization","demand_trace.csv, demand_refute.md"
A09,forces_scan,"Surface social, labor, legal, climate, and narrative forces the hard data may miss.","labor markets, litigation, acceptance, demographics, climate data","forces_edges.csv, blind_spots.md"
A10,adversarial_refute,"Try to kill each promoted edge, especially with already-priced and substitute arguments.","candidate edges, price checks, substitutes, counterevidence","refute_log.md, demotions.json"
A11,scenario_architect,Build compatible future states instead of isolated predictions.,"promoted graph edges, refute log, uncertainty queue","scenario_tree.json, branch_probabilities.csv"
A12,ultra_operator,"Turn high-value nodes into permits, projects, people, contacts, and verification tasks.","promoted constraints, buyer segments, watchlist","task_queue.csv, contacts_seed.csv, verification_ledger.md"
A13,monitoring_scorecard,"Define the exact observables, cadence, kill conditions, and scoring records.","forecast clauses, metrics, source availability","watchlist.csv, scorecard.jsonl, monitor_runbook.md"
