id,thesis_id,kind,priority,question,owner_agent,required_evidence,status
u-unknown-p1-source-pack-attach-primary-official-source-urls-and-publication-dates-0d464a7b,P1,source_pack,critical,Attach primary/official source URLs and publication dates to every load-bearing node.,A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p1-substitute-path-map-substitutes-that-would-kill-or-weaken-the-bottlen-d1790b30,P1,substitute_path,high,Map substitutes that would kill or weaken the bottleneck.,A10,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p1-scenario-branch-create-at-least-one-base-upside-downside-scenario-bra-73f41b1e,P1,scenario_branch,medium,Create at least one base/upside/downside scenario branch around this thesis.,A11,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p1-entity-resolution-resolve-named-entities-to-canonical-companies-agenc-b9bed82a,P1,entity_resolution,high,"Resolve named entities to canonical companies, agencies, labs, materials, and projects.",A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p2-source-pack-attach-primary-official-source-urls-and-publication-dates-c307c5d6,P2,source_pack,critical,Attach primary/official source URLs and publication dates to every load-bearing node.,A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p2-substitute-path-map-substitutes-that-would-kill-or-weaken-the-bottlen-8fa7996e,P2,substitute_path,high,Map substitutes that would kill or weaken the bottleneck.,A10,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p2-scenario-branch-create-at-least-one-base-upside-downside-scenario-bra-abdea055,P2,scenario_branch,medium,Create at least one base/upside/downside scenario branch around this thesis.,A11,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p2-entity-resolution-resolve-named-entities-to-canonical-companies-agenc-a38baf06,P2,entity_resolution,high,"Resolve named entities to canonical companies, agencies, labs, materials, and projects.",A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p3-source-pack-attach-primary-official-source-urls-and-publication-dates-16a7677b,P3,source_pack,critical,Attach primary/official source URLs and publication dates to every load-bearing node.,A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p3-substitute-path-map-substitutes-that-would-kill-or-weaken-the-bottlen-2938fdec,P3,substitute_path,high,Map substitutes that would kill or weaken the bottleneck.,A10,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p3-scenario-branch-create-at-least-one-base-upside-downside-scenario-bra-dabc5dff,P3,scenario_branch,medium,Create at least one base/upside/downside scenario branch around this thesis.,A11,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p3-entity-resolution-resolve-named-entities-to-canonical-companies-agenc-cf5bcda4,P3,entity_resolution,high,"Resolve named entities to canonical companies, agencies, labs, materials, and projects.",A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p4-source-pack-attach-primary-official-source-urls-and-publication-dates-3178d8ce,P4,source_pack,critical,Attach primary/official source URLs and publication dates to every load-bearing node.,A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p4-substitute-path-map-substitutes-that-would-kill-or-weaken-the-bottlen-4ddc0cfe,P4,substitute_path,high,Map substitutes that would kill or weaken the bottleneck.,A10,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p4-scenario-branch-create-at-least-one-base-upside-downside-scenario-bra-bd61c0c9,P4,scenario_branch,medium,Create at least one base/upside/downside scenario branch around this thesis.,A11,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p4-entity-resolution-resolve-named-entities-to-canonical-companies-agenc-66a04ea2,P4,entity_resolution,high,"Resolve named entities to canonical companies, agencies, labs, materials, and projects.",A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p5-source-pack-attach-primary-official-source-urls-and-publication-dates-226ac745,P5,source_pack,critical,Attach primary/official source URLs and publication dates to every load-bearing node.,A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p5-substitute-path-map-substitutes-that-would-kill-or-weaken-the-bottlen-54f63573,P5,substitute_path,high,Map substitutes that would kill or weaken the bottleneck.,A10,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p5-scenario-branch-create-at-least-one-base-upside-downside-scenario-bra-10425e1c,P5,scenario_branch,medium,Create at least one base/upside/downside scenario branch around this thesis.,A11,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p5-entity-resolution-resolve-named-entities-to-canonical-companies-agenc-44a8af16,P5,entity_resolution,high,"Resolve named entities to canonical companies, agencies, labs, materials, and projects.",A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p6-source-pack-attach-primary-official-source-urls-and-publication-dates-f70b80f5,P6,source_pack,critical,Attach primary/official source URLs and publication dates to every load-bearing node.,A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p6-substitute-path-map-substitutes-that-would-kill-or-weaken-the-bottlen-807b30a0,P6,substitute_path,high,Map substitutes that would kill or weaken the bottleneck.,A10,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p6-scenario-branch-create-at-least-one-base-upside-downside-scenario-bra-87cd1016,P6,scenario_branch,medium,Create at least one base/upside/downside scenario branch around this thesis.,A11,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
u-unknown-p6-entity-resolution-resolve-named-entities-to-canonical-companies-agenc-42bc9157,P6,entity_resolution,high,"Resolve named entities to canonical companies, agencies, labs, materials, and projects.",A01,"source_url, source_date, quote_or_field, trust_rationale, verification_status",open
