fid,N,nq,brier,absdev,beta_fc,se_fc,method,vif,dll,fam
2nd_news_2024-07-21.Anthropic.claude_3p5_sonnet_scratchpad_with_news,567,256,0.17496669135802467,0.22355807584250442,-0.09417051675241785,0.16235918273065278,logit,1.4136747952287412,0.0002695119823674221,2nd_news_2024-07-21.Anthropic.claude_3p5_sonnet
2nd_news_2024-07-21.OpenAI.gpt_4o_scratchpad_with_news,567,256,0.14976895589065253,0.20071303970246915,0.06721470846589168,0.15365840362028735,logit,1.4779408258984694,0.00015662736358690858,2nd_news_2024-07-21.OpenAI.gpt_4o
Anthropic.claude_2p1_scratchpad,567,256,0.23008730864197527,0.32629651779100527,-0.17471127255589564,0.16425567557268417,logit,1.0729601892872558,0.000498328761001735,Anthropic.claude_2p1
Anthropic.claude_2p1_scratchpad_with_freeze_values,567,256,0.23312278475387196,0.32010908468395066,-0.30816638812694497,0.11341958348775252,logit,1.000492499613768,0.004642458356864421,Anthropic.claude_2p1
Anthropic.claude_2p1_scratchpad_with_news,567,256,0.23637501102292774,0.33011776535996473,-0.16797945770036038,0.17095490293672752,logit,1.018888450687309,0.0007387086354463012,Anthropic.claude_2p1
Anthropic.claude_2p1_scratchpad_with_news_with_freeze_values,567,256,0.22279791936908608,0.30377402721640206,-0.18210129730048172,0.18935309004337192,logit,1.084050598617309,0.0008233310347128238,Anthropic.claude_2p1
Anthropic.claude_2p1_superforecaster_with_news_1,567,256,0.2596462103174603,0.3555430633994709,-0.07770413129668052,0.1294607917258641,logit,1.0022923053355863,0.00019577838515790974,Anthropic.claude_2p1
Anthropic.claude_2p1_superforecaster_with_news_2,567,256,0.25404180070546734,0.35184275055079367,-0.19049553394464822,0.1330932530849513,logit,1.0086420958493685,0.0010640592000180174,Anthropic.claude_2p1
Anthropic.claude_2p1_superforecaster_with_news_3,567,256,0.25139351851851854,0.34974579347319223,0.14226465199952165,0.18016048428731501,logit,1.053024300005461,0.0004219842026640519,Anthropic.claude_2p1
Anthropic.claude_2p1_zero_shot,567,256,0.2414112962962963,0.3212895734555556,-0.22427487324718937,0.1544080507972032,logit,1.006217377999007,0.0015467671910393585,Anthropic.claude_2p1
Anthropic.claude_2p1_zero_shot_with_freeze_values,567,256,0.20558496654638825,0.20002935361746033,-0.3165356005151999,0.1218121691461028,logit,1.1349397767655152,0.008652608579056132,Anthropic.claude_2p1
Anthropic.claude_3_haiku_scratchpad,567,256,0.26368236331569667,0.3666233760118166,-0.44831303248303667,0.3211075629619879,logit,1.0459360465187886,0.0020217880340509618,Anthropic.claude_3_haiku
Anthropic.claude_3_haiku_scratchpad_with_freeze_values,567,256,0.2349370625396825,0.31449410767213404,-0.4167218275321324,0.2392410994998294,logit,1.1882085257354957,0.0030686505287586064,Anthropic.claude_3_haiku
Anthropic.claude_3_haiku_scratchpad_with_news,567,256,0.27152998236331566,0.37899755861322754,-0.38529386650849645,0.3156436742832271,logit,1.0747551206619483,0.001320917208784478,Anthropic.claude_3_haiku
Anthropic.claude_3_haiku_scratchpad_with_news_with_freeze_values,567,256,0.2490147041369301,0.34371952169153436,-0.26114329565638633,0.2098361922613153,logit,1.1355913624115528,0.0009414029165154785,Anthropic.claude_3_haiku
Anthropic.claude_3_haiku_superforecaster_with_news_1,567,256,0.32419856118165785,0.4122872518901235,-0.3407330126065735,0.18476260676571193,logit,1.0232270752289978,0.002873250495159908,Anthropic.claude_3_haiku
Anthropic.claude_3_haiku_superforecaster_with_news_2,567,256,0.26543804232804236,0.36623151366296297,-0.06448063386987277,0.1695284767781818,logit,1.0790513270763493,8.017140321152152e-05,Anthropic.claude_3_haiku
Anthropic.claude_3_haiku_superforecaster_with_news_3,567,256,0.289673721340388,0.39814648378289247,-0.15587420160679075,0.27958415631463107,logit,1.0432842045484787,0.00023832782333019724,Anthropic.claude_3_haiku
Anthropic.claude_3_haiku_zero_shot,567,256,0.24305555555555555,0.3453718666280423,-0.08303481797254668,0.19300964759360006,logit,1.03698167437567,7.571511291029077e-05,Anthropic.claude_3_haiku
Anthropic.claude_3_haiku_zero_shot_with_freeze_values,567,256,0.21394811196241076,0.2814748654335097,-0.20392311558779883,0.14059931726704286,logit,1.17306186128285,0.0013690526465575926,Anthropic.claude_3_haiku
Anthropic.claude_3_opus_scratchpad,567,256,0.18857306349206351,0.2616004246089947,-0.0429792733649836,0.21053241029948597,logit,1.3653897172076244,3.796917209967787e-05,Anthropic.claude_3_opus
Anthropic.claude_3_opus_scratchpad_with_freeze_values,567,256,0.14816452107583777,0.16836398488765433,-0.27475452895906366,0.18274632918443856,logit,2.0040382994036636,0.0015306792574176157,Anthropic.claude_3_opus
Anthropic.claude_3_opus_scratchpad_with_news,567,256,0.20614285714285716,0.2857691885310406,-0.057541239366487605,0.18563260229694767,logit,1.3130516230051368,7.249612613600943e-05,Anthropic.claude_3_opus
Anthropic.claude_3_opus_scratchpad_with_news_with_freeze_values,567,256,0.18818330698297092,0.24016630902592592,-0.4535211715781085,0.18125080580232364,logit,1.497243701417778,0.004774023875863197,Anthropic.claude_3_opus
Anthropic.claude_3_opus_superforecaster_with_news_1,567,256,0.18663065082561728,0.2614835514696649,0.3245714457679384,0.12002665893619058,logit,1.2432140870350379,0.005278526060296232,Anthropic.claude_3_opus
Anthropic.claude_3_opus_superforecaster_with_news_2,567,256,0.198458959329806,0.2542251492142857,0.07466211306292746,0.1787529521181103,logit,1.3621539215082332,0.00014951959741114944,Anthropic.claude_3_opus
Anthropic.claude_3_opus_superforecaster_with_news_3,567,256,0.20748722398589065,0.2814855978622575,0.032230067264600926,0.16836221909172489,logit,1.2633408046132408,2.7879826409628957e-05,Anthropic.claude_3_opus
Anthropic.claude_3_opus_zero_shot,567,256,0.17402120492063494,0.219635478894709,0.09707293098316412,0.11464925804615574,logit,1.4411744152220907,0.0005064045066978886,Anthropic.claude_3_opus
Anthropic.claude_3_opus_zero_shot_with_freeze_values,567,256,0.13304422678458644,0.10895099481640211,-0.48286431157571685,0.21827868765424793,logit,2.5954584373809375,0.0050753591131118825,Anthropic.claude_3_opus
Anthropic.claude_3p5_sonnet_scratchpad,567,256,0.15954613756613756,0.20984756595220458,0.013068055477632814,0.15622925561435574,logit,1.461290357747238,3.913547085765392e-06,Anthropic.claude_3p5_sonnet
Anthropic.claude_3p5_sonnet_scratchpad_with_freeze_values,567,256,0.11536829142235726,0.08625814297089947,-0.47834317545827754,0.26837094228123703,logit,2.747344411154669,0.0038950512322574447,Anthropic.claude_3p5_sonnet
Anthropic.claude_3p5_sonnet_scratchpad_with_news,567,256,0.16512857142857143,0.20927708649435628,-0.08011768712347157,0.16725406237752585,logit,1.5836219559871412,0.0001793231487312793,Anthropic.claude_3p5_sonnet
Anthropic.claude_3p5_sonnet_scratchpad_with_news_with_freeze_values,567,256,0.13805416436861773,0.1368456850269841,-0.25788739786828285,0.2333997697089339,logit,2.16331432723409,0.0021203552455547714,Anthropic.claude_3p5_sonnet
Anthropic.claude_3p5_sonnet_superforecaster_with_news_1,567,256,0.17162109029982364,0.21338119777971779,-0.08923464723901252,0.12334577302221661,logit,1.3955835724088008,0.00043221724735948553,Anthropic.claude_3p5_sonnet
Anthropic.claude_3p5_sonnet_superforecaster_with_news_2,567,256,0.20844631040564374,0.2663238002121693,0.004675583431109315,0.15545875365722228,logit,1.3830346090152643,6.535212297512852e-07,Anthropic.claude_3p5_sonnet
Anthropic.claude_3p5_sonnet_superforecaster_with_news_3,567,256,0.17076474074074074,0.21618809547425044,-0.13343031072680894,0.18460687422460947,logit,1.5068942596910195,0.0004766914754200675,Anthropic.claude_3p5_sonnet
Anthropic.claude_3p5_sonnet_zero_shot,567,256,0.17348199985890653,0.21345126641040565,-0.021054214491277885,0.11994510564312279,logit,1.4021835973661498,1.7517985067124884e-05,Anthropic.claude_3p5_sonnet
Anthropic.claude_3p5_sonnet_zero_shot_with_freeze_values,567,256,0.1329305236915848,0.09818202971481481,-0.5154950421226548,0.2564088926951241,logit,2.7926776909393833,0.007427875903159878,Anthropic.claude_3p5_sonnet
