name,market,capacity,status,path,verified,unresolved,next,implication
AWS / Talen Susquehanna data campus,"PJM, Pennsylvania",Large co-located load tied to Susquehanna nuclear; treat larger multi-phase claims as live but not clean.,contested_primary_verified_asset,"Co-located/direct-connect load model at a nuclear plant, with contested treatment of load and backup service.","FERC rejected the amended ISA filings in ER24-2172 on 2024-11-01. Commercial story exists, but the docket narrows it.","Replacement structure, enforceable MW schedule, cost allocation, backup/network service, appeal/rehearing posture.",Pull full ER24-2172 docket sheet and PJM co-location compliance filings before using any MW claim.,"The flagship refutation row: real commercial asset, not clean proof of a power-secured campus."
Constellation / Microsoft Crane Clean Energy Center,"PJM, Pennsylvania",835 MW nuclear restart.,source_verified_restart_pending_nrc,Grid-connected nuclear restart with Microsoft 20-year PPA for PJM data-center power matching.,"Constellation, DOE, and NRC public pages verify the restart path and approval requirements.","NRC approval timing, PJM deliverability, exact physical vs attribute structure, cost/schedule slippage.","Track NRC Crane restart filings, DOE loan milestones, and Constellation schedule updates.","Strong firm-power procurement proof, but not a behind-the-meter campus proof."
Google / Brookfield Holtwood and Safe Harbor hydro,"PJM, Pennsylvania","670 MW initial contracts; framework up to 3,000 MW across the United States.",source_verified_framework_regulatory_followup,Hydroelectric PPAs/framework supporting Google operations and 24/7 carbon-free energy goals.,Brookfield/Google official agreement verifies the commercial framework.,"FERC hydro license posture, project delivery profile, incremental vs existing output, transmission constraints.","Pull FERC records for Holtwood and Safe Harbor, including Safe Harbor Project No. 1025.",High-quality dispatchable clean-energy procurement evidence; delivery details still decide the diligence value.
Homer City Energy Campus,"PJM, Pennsylvania",Official project page says up to 4.4 GW; GE Vernova release frames up to 4.5 GW.,official_lead_permit_contested_customer_unverified,Retired coal site converted toward on-site/adjacent gas generation for AI/HPC data centers.,Official project and equipment partner sources support ambition and turbine/power-infrastructure claims.,"Named tenant, executed offtake, PA DEP permit status after appeal, gas pipeline capacity, PJM interconnection.","Pull PA DEP permit docket, PJM queue records, gas records, and signed tenant/offtake evidence.","Too important to ignore, too incomplete to use as clean proof."
Amazon / AES Ohio 345 kV data-center service request,"PJM, Ohio","65 MW at COD, rising to 480 MW by end of Phase I in PJM load-analysis material.",primary_rto_planning,345 kV grid service with transmission construction and service-agreement treatment.,"PJM presentation, FERC ER25-192 concurrence, and AES Ohio transmission-project route verify the planning spine.","Phase II/III schedule, network-upgrade cost responsibility, OPSB/PUCO line and substation status.",Pull ER25-192 order and Ohio case 25-0743-EL-BLN for in-service dates and cost allocation.,Clean utility/RTO-planning row and a useful contrast to splashier behind-the-meter claims.
Dominion Energy Culpeper Tech Zone buildout,"PJM, Virginia","188 MW by 2028 and 1,164 MW by 2034 for Culpeper County/Town of Culpeper in SCC materials.",primary_utility_regulatory_unresolved_customer,"230 kV transmission project, new substations, and network upgrades for data-center load.","Dominion project page, SCC application, and PJM TEAC materials verify utility planning.","Per-campus customer names, service agreements, local approvals, route opposition, substation energization schedule.",Pull SCC PUR-2025-00032 filings and match delivery points to county approvals and developer sites.,Strong load-growth proof case; the buyer question is which campus has real service rights.
AEP Ohio / Bloom Energy fuel-cell projects for AWS and Cologix,"PJM, Ohio",Hilliard page identifies 72.9 MW solid oxide fuel-cell facility for Amazon onsite demand.,primary_local_plus_company_mw_partial,On-site natural-gas fuel cells intended to serve data centers while grid capacity is constrained.,"AEP company release, Hilliard local project page, and PUCO public notice validate the pattern.","PUCO case/order, Cologix facility MW, tariff treatment, gas supply terms, whether fuel cells reduce network obligations.",Pull PUCO onsite-generation order and site-by-site tariff filings.,Concrete bridge-power pattern; only partially quantified until PUCO and second-site records are extracted.
Socrates North and South Power Solution Facilities,PJM / AEP Ohio region,"Two 200 MW power-generation sites, 400 MW combined.",primary_regulator_btm_counterparty_unverified,Behind-the-meter natural-gas generation facilities for adjacent data-center load.,OPSB says Socrates South will serve adjacent data-center load and not connect physically to the grid.,"Exact load owner, North facility OPSB status, gas-pipeline permits, air permit conditions, COD by facility.","Pull OPSB case documents for North and South and match applicant, consuming entity, pipeline applications, and COD.","One of the cleaner BTM patterns, but customer identity and gas permits are still gates."
Apollo Power Generation Facility,"Wood County, Ohio",350 MW natural-gas-fired generation plus about 120 MW of battery energy storage.,primary_regulator_btm_approved,Behind-the-meter facility serving adjacent data-center load; OPSB says no physical grid connection.,OPSB authorization and case 25-973-EL-BGN verify the facility and adjacent load claim.,"Liames beneficial owner/end customer, Ohio EPA air permit, gas pipeline permits, enforceable COD, battery operation.","Pull OPSB filings, Ohio EPA permit materials, and Liames corporate linkage before naming a hyperscaler.",Strong approved BTM gas-plus-storage comparison row; customer identity remains the first buyer question.
Meta Richland Parish data center / Entergy Louisiana,Louisiana / Entergy,"Meta says over 2 GW of compute capacity; Entergy materials include 2,260 MW of planned generation.",source_verified_grid_buildout_lpsc_approved,"Regulated utility buildout with generation, transmission, substations, storage/renewables commitments.",Meta and Entergy official pages verify the scale and public utility-buildout framing.,"LPSC docket numbers, final cost allocation, expansion beyond initial service, gas-unit approvals.","Pull LPSC orders, service-agreement summaries, and confidential-redaction indexes.","Looks power-secured in narrative, but is a regulated utility mega-build with approval and cost-allocation risk."
