thesis_id,packet_id,kind,task,truth_floor,first_query,source_priority,required_fields,status
P1,P1-permit_docket,permit_docket,A table of named permits/dockets with current status and next check date.,primary_verified,"""Verifiable agent identity, delegated permission tokens, spending and action limits"" ""agentic commerce / identity / payments"" permit docket",county or municipal planning agenda; state public utility commission docket; FERC eLibrary or federal docket,permit_or_docket_name; jurisdiction; applicant; project_or_asset; status; filed_date; next_hearing_or_deadline; capacity_or_scope; source_url; quote_or_table_row,unverified
P1,P1-project_asset,project_asset,A ranked map of named projects/assets with why each matters to the constraint.,primary_verified,"""Verifiable agent identity, delegated permission tokens, spending and action limits"" ""agentic commerce / identity / payments"" project",official project page; developer announcement; permit filing,project_name; asset_owner; location; capacity_or_volume; timeline; constraint_link; commercial_status; source_url; quote_or_table_row,unverified
P1,P1-company_supplier,company_supplier,"A counterparty table with role, proof, and public contact path.",primary_verified,"""Verifiable agent identity, delegated permission tokens, spending and action limits"" supplier company","official company page; 10-K, S-1, 8-K, annual report, or statutory filing; procurement portal",organization; role; evidence_of_role; product_or_asset; buyer_or_supplier_link; public_contact_path; source_url; quote_or_table_row,unverified
P1,P1-research_lab,research_lab,A lab map with named people or groups and what question to ask them.,primary_verified,"""Verifiable agent identity, delegated permission tokens, spending and action limits"" university lab","university lab page; grant award database; OpenAlex, Crossref, PubMed, arXiv, or patent record",institution; lab_or_center; principal_investigator_or_team; research_topic; grant_or_publication; evidence_span; public_contact_path; source_url,unverified
P1,P1-person_contact,person_contact,"A public-contact task list with question scripts, not guessed emails.",contact_confirmed,"""Verifiable agent identity, delegated permission tokens, spending and action limits"" ""agentic commerce / identity / payments"" ""vice president"" OR director",official leadership page; public agency staff directory; university directory,person_or_role; organization; why_relevant; authority_or_expertise; public_contact_path; contact_source_url; do_not_guess_email,unverified
P1,P1-capital_operation,capital_operation,"A trancheable action memo with amount, trigger, owner, ROI logic, and stop condition.",primary_verified,"""Verifiable agent identity, delegated permission tokens, spending and action limits"" cost per MW OR capex OR contract",vendor quote or rate card; filing with capex or contract data; public procurement award,action; amount_range; unit_cost_basis; counterparty_or_asset; first_tranche_trigger; next_tranche_trigger; expected_roi_or_loss_avoided; reversibility; kill_condition; owner; source_url,unverified
P1,P1-watch_signal,watch_signal,"A monitoring table with cadence, threshold, and escalation rule.",primary_verified,"""Count of payment, identity, or cloud platforms operating agent credential networks"" data source",official time series; permit docket updates; interconnection queue,signal; source; cadence; threshold; owner; escalation_rule; kill_or_premise_void; source_url,unverified
P2,P2-permit_docket,permit_docket,A table of named permits/dockets with current status and next check date.,primary_verified,"""Tamper-evident action logs, incident reports, model and tool version provenance"" ""liability / insurance / audit evidence"" permit docket",county or municipal planning agenda; state public utility commission docket; FERC eLibrary or federal docket,permit_or_docket_name; jurisdiction; applicant; project_or_asset; status; filed_date; next_hearing_or_deadline; capacity_or_scope; source_url; quote_or_table_row,unverified
P2,P2-project_asset,project_asset,A ranked map of named projects/assets with why each matters to the constraint.,primary_verified,"""Tamper-evident action logs, incident reports, model and tool version provenance"" ""liability / insurance / audit evidence"" project",official project page; developer announcement; permit filing,project_name; asset_owner; location; capacity_or_volume; timeline; constraint_link; commercial_status; source_url; quote_or_table_row,unverified
P2,P2-company_supplier,company_supplier,"A counterparty table with role, proof, and public contact path.",primary_verified,"""Tamper-evident action logs, incident reports, model and tool version provenance"" supplier company","official company page; 10-K, S-1, 8-K, annual report, or statutory filing; procurement portal",organization; role; evidence_of_role; product_or_asset; buyer_or_supplier_link; public_contact_path; source_url; quote_or_table_row,unverified
P2,P2-research_lab,research_lab,A lab map with named people or groups and what question to ask them.,primary_verified,"""Tamper-evident action logs, incident reports, model and tool version provenance"" university lab","university lab page; grant award database; OpenAlex, Crossref, PubMed, arXiv, or patent record",institution; lab_or_center; principal_investigator_or_team; research_topic; grant_or_publication; evidence_span; public_contact_path; source_url,unverified
P2,P2-person_contact,person_contact,"A public-contact task list with question scripts, not guessed emails.",contact_confirmed,"""Tamper-evident action logs, incident reports, model and tool version provenance"" ""liability / insurance / audit evidence"" ""vice president"" OR director",official leadership page; public agency staff directory; university directory,person_or_role; organization; why_relevant; authority_or_expertise; public_contact_path; contact_source_url; do_not_guess_email,unverified
P2,P2-capital_operation,capital_operation,"A trancheable action memo with amount, trigger, owner, ROI logic, and stop condition.",primary_verified,"""Tamper-evident action logs, incident reports, model and tool version provenance"" cost per MW OR capex OR contract",vendor quote or rate card; filing with capex or contract data; public procurement award,action; amount_range; unit_cost_basis; counterparty_or_asset; first_tranche_trigger; next_tranche_trigger; expected_roi_or_loss_avoided; reversibility; kill_condition; owner; source_url,unverified
P2,P2-watch_signal,watch_signal,"A monitoring table with cadence, threshold, and escalation rule.",primary_verified,"""Number of G7 or EU-regulated sectors requiring AI action logs or incident"" data source",official time series; permit docket updates; interconnection queue,signal; source; cadence; threshold; owner; escalation_rule; kill_or_premise_void; source_url,unverified
P3,P3-permit_docket,permit_docket,A table of named permits/dockets with current status and next check date.,primary_verified,"""Machine-readable protocol, sample lineage, instrument-control standards, data and knowledge management"" ""autonomous science / lab infrastructure"" permit docket",county or municipal planning agenda; state public utility commission docket; FERC eLibrary or federal docket,permit_or_docket_name; jurisdiction; applicant; project_or_asset; status; filed_date; next_hearing_or_deadline; capacity_or_scope; source_url; quote_or_table_row,unverified
P3,P3-project_asset,project_asset,A ranked map of named projects/assets with why each matters to the constraint.,primary_verified,"""Machine-readable protocol, sample lineage, instrument-control standards, data and knowledge management"" ""autonomous science / lab infrastructure"" project",official project page; developer announcement; permit filing,project_name; asset_owner; location; capacity_or_volume; timeline; constraint_link; commercial_status; source_url; quote_or_table_row,unverified
P3,P3-company_supplier,company_supplier,"A counterparty table with role, proof, and public contact path.",primary_verified,"""Machine-readable protocol, sample lineage, instrument-control standards, data and knowledge management"" supplier company","official company page; 10-K, S-1, 8-K, annual report, or statutory filing; procurement portal",organization; role; evidence_of_role; product_or_asset; buyer_or_supplier_link; public_contact_path; source_url; quote_or_table_row,unverified
P3,P3-research_lab,research_lab,A lab map with named people or groups and what question to ask them.,primary_verified,"""Machine-readable protocol, sample lineage, instrument-control standards, data and knowledge management"" university lab","university lab page; grant award database; OpenAlex, Crossref, PubMed, arXiv, or patent record",institution; lab_or_center; principal_investigator_or_team; research_topic; grant_or_publication; evidence_span; public_contact_path; source_url,unverified
P3,P3-person_contact,person_contact,"A public-contact task list with question scripts, not guessed emails.",contact_confirmed,"""Machine-readable protocol, sample lineage, instrument-control standards, data and knowledge management"" ""autonomous science / lab infrastructure"" ""vice president"" OR director",official leadership page; public agency staff directory; university directory,person_or_role; organization; why_relevant; authority_or_expertise; public_contact_path; contact_source_url; do_not_guess_email,unverified
P3,P3-capital_operation,capital_operation,"A trancheable action memo with amount, trigger, owner, ROI logic, and stop condition.",primary_verified,"""Machine-readable protocol, sample lineage, instrument-control standards, data and knowledge management"" cost per MW OR capex OR contract",vendor quote or rate card; filing with capex or contract data; public procurement award,action; amount_range; unit_cost_basis; counterparty_or_asset; first_tranche_trigger; next_tranche_trigger; expected_roi_or_loss_avoided; reversibility; kill_condition; owner; source_url,unverified
P3,P3-watch_signal,watch_signal,"A monitoring table with cadence, threshold, and escalation rule.",primary_verified,"""Public procurements or funding programs above $25 million requiring named autonomous-lab standards"" data source",official time series; permit docket updates; interconnection queue,signal; source; cadence; threshold; owner; escalation_rule; kill_or_premise_void; source_url,unverified
P3,P3-safety_deployment,safety_deployment,"A deployment bottleneck map with standards, integrators, and labor proof.",primary_verified,"""robot"" ""commissioning time"" integrator","ANSI/RIA, ISO, OSHA, or standards body page; integrator case study; robot OEM deployment note",standard_or_certification; integrator_or_oem; deployment_site; commissioning_time; safety_owner; evidence_source; public_contact_path,unverified
P3,P3-experimental_throughput,experimental_throughput,An experimental-throughput map with who owns the bottleneck and what to fund.,primary_verified,"""self-driving lab"" ""Machine-readable protocol, sample lineage, instrument-control standards, data and knowledge management"" grant","NIH, NSF, DOE, CORDIS, or SBIR award; lab automation vendor page; university lab page",assay_or_instrument; lab_or_company; throughput_metric; bottleneck_step; data_rights; grant_or_publication; public_contact_path,unverified
P4,P4-permit_docket,permit_docket,A table of named permits/dockets with current status and next check date.,primary_verified,"""Accelerated lifetime testing, reliability statistics, standardized qualification data, critically evaluated"" ""materials / qualification / reliability"" permit docket",county or municipal planning agenda; state public utility commission docket; FERC eLibrary or federal docket,permit_or_docket_name; jurisdiction; applicant; project_or_asset; status; filed_date; next_hearing_or_deadline; capacity_or_scope; source_url; quote_or_table_row,unverified
P4,P4-project_asset,project_asset,A ranked map of named projects/assets with why each matters to the constraint.,primary_verified,"""Accelerated lifetime testing, reliability statistics, standardized qualification data, critically evaluated"" ""materials / qualification / reliability"" project",official project page; developer announcement; permit filing,project_name; asset_owner; location; capacity_or_volume; timeline; constraint_link; commercial_status; source_url; quote_or_table_row,unverified
P4,P4-company_supplier,company_supplier,"A counterparty table with role, proof, and public contact path.",primary_verified,"""Accelerated lifetime testing, reliability statistics, standardized qualification data, critically evaluated"" supplier company","official company page; 10-K, S-1, 8-K, annual report, or statutory filing; procurement portal",organization; role; evidence_of_role; product_or_asset; buyer_or_supplier_link; public_contact_path; source_url; quote_or_table_row,unverified
P4,P4-research_lab,research_lab,A lab map with named people or groups and what question to ask them.,primary_verified,"""Accelerated lifetime testing, reliability statistics, standardized qualification data, critically evaluated"" university lab","university lab page; grant award database; OpenAlex, Crossref, PubMed, arXiv, or patent record",institution; lab_or_center; principal_investigator_or_team; research_topic; grant_or_publication; evidence_span; public_contact_path; source_url,unverified
P4,P4-person_contact,person_contact,"A public-contact task list with question scripts, not guessed emails.",contact_confirmed,"""Accelerated lifetime testing, reliability statistics, standardized qualification data, critically evaluated"" ""materials / qualification / reliability"" ""vice president"" OR director",official leadership page; public agency staff directory; university directory,person_or_role; organization; why_relevant; authority_or_expertise; public_contact_path; contact_source_url; do_not_guess_email,unverified
P4,P4-capital_operation,capital_operation,"A trancheable action memo with amount, trigger, owner, ROI logic, and stop condition.",primary_verified,"""Accelerated lifetime testing, reliability statistics, standardized qualification data, critically evaluated"" cost per MW OR capex OR contract",vendor quote or rate card; filing with capex or contract data; public procurement award,action; amount_range; unit_cost_basis; counterparty_or_asset; first_tranche_trigger; next_tranche_trigger; expected_roi_or_loss_avoided; reversibility; kill_condition; owner; source_url,unverified
P4,P4-watch_signal,watch_signal,"A monitoring table with cadence, threshold, and escalation rule.",primary_verified,"""Count of AI-discovered or AI-optimized materials missing original commercial design-in targets by"" data source",official time series; permit docket updates; interconnection queue,signal; source; cadence; threshold; owner; escalation_rule; kill_or_premise_void; source_url,unverified
