id,src,dst,rel,confidence,verification_status,rationale
e-n-source-research-pope-after-ai-2026-06-17-json-afabfe46-describes-n-domain-what-f011f164,n-source-research-pope-after-ai-2026-06-17-json-afabfe46,n-domain-what-comes-next-after-ai-093b9fee,describes,1.0,derived_from_board,The Pope board is the source artifact for this domain map.
e-n-domain-what-comes-next-after-ai-093b9fee-contains-thesis-n-thesis-p1-the-ai-fr-2f3e2afd,n-domain-what-comes-next-after-ai-093b9fee,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,contains_thesis,0.9,derived_from_board,The board domain contains this forecast thesis.
e-n-source-research-pope-after-ai-2026-06-17-json-afabfe46-states-n-thesis-p1-the-b1b1b216,n-source-research-pope-after-ai-2026-06-17-json-afabfe46,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,states,1.0,derived_from_board,The source board states this thesis.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-dec597b3,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-constraint-contiguous-land-fiber-proximity-behind-the-meter-firm-generation-righ-ced7941b,identifies_constraint,0.7,derived_from_board,The thesis claims this is the binding constraint.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-7b7ad9dd,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-metric-track-hyperscaler-and-data-center-developer-announcements-that-name-on-si-f5493b8f,resolved_by,0.8,derived_from_board,The forecast clause resolves through this metric.
e-n-constraint-contiguous-land-fiber-proximity-behind-the-meter-firm-generation-ri-b8ad8b80,n-constraint-contiguous-land-fiber-proximity-behind-the-meter-firm-generation-righ-ced7941b,n-metric-track-hyperscaler-and-data-center-developer-announcements-that-name-on-si-f5493b8f,observed_by,0.65,derived_from_board,This metric is an observable proxy for the constraint.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-34fea454,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-kill-condition-kill-if-by-end-2028-fewer-than-two-hyperscaler-scale-campuses-pub-495cf67f,falsified_by,0.9,derived_from_board,This condition kills or falsifies the thesis.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-5c5d276c,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-price-channel-transformer-shortage-and-grid-congestion-are-visible-the-residual-1a4676ce,priced_through,0.65,derived_from_board,The pricing gate should inspect this channel.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-4972bc05,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-buyer-segment-hyperscaler-infrastructure-teams-data-center-developers-power-deve-fd355967,exposes,0.65,derived_from_board,This buyer or operator is exposed to the forecast.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-5d82c387,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-action-map-sites-by-firm-power-time-to-energize-not-just-land-cost-and-fiber-sec-a462366b,changes_action,0.65,derived_from_board,"If the thesis is right, this action changes now."
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-4c864bc1,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-observable-a-hyperscaler-or-top-data-center-reit-announcing-a-100-mw-plus-campus-ee448776,watched_by,0.75,derived_from_board,This is the earliest observable signal to monitor.
e-n-constraint-contiguous-land-fiber-proximity-behind-the-meter-firm-generation-ri-df248614,n-constraint-contiguous-land-fiber-proximity-behind-the-meter-firm-generation-righ-ced7941b,n-observable-a-hyperscaler-or-top-data-center-reit-announcing-a-100-mw-plus-campus-ee448776,emits_signal,0.65,derived_from_board,The constraint should emit this signal if the thesis is becoming true.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-9bc948c7,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-winner-geothermal-and-clean-firm-power-developers-d26c8b7d,creates_winner,0.55,derived_from_board,The thesis names this winner: They turn data-center load into a bankable offtake and bypass part of the grid queue.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-10322695,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-winner-data-center-developers-with-power-secured-land-9d1fcc54,creates_winner,0.55,derived_from_board,"The thesis names this winner: They can sell time-to-energize, not square footage."
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-42af04e8,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-winner-hyperscalers-with-flexible-inference-siting-0745b147,creates_winner,0.55,derived_from_board,The thesis names this winner: Inference workloads can move toward power instead of clustering only near legacy hubs.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-56dfdd3a,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-loser-grid-dependent-campus-projects-in-congested-markets-aab89810,creates_loser,0.55,derived_from_board,"The thesis names this loser: They face transformer, interconnection, and local consent delays that make announced capacity less real."
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-4307e16d,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-loser-ai-infrastructure-investors-underwriting-shell-capacity-only-19dd6ae3,creates_loser,0.55,derived_from_board,The thesis names this loser: They risk owning buildings that cannot be energized on the underwriting timeline.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-b5743779,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-constraint-rent-lands-in-developers-and-landowners-with-power-secured-campuses-g-43019856,moves_rent_to,0.55,derived_from_board,Derived from implications.rent_path.
e-n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70c-c041d448,n-thesis-p1-the-ai-frontier-moves-from-model-access-to-firm-power-siting-b3db70cf,n-constraint-the-next-constraint-moves-to-drilling-capacity-high-voltage-equipment-6742ca22,creates_next_constraint,0.55,derived_from_board,Derived from implications.next_constraint.
